ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
AL011855,UNNAMED,18550806,1200,  , HU,22.2N,98.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021855,UNNAMED,18550810,0,  , HU,44.0N,42.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031855,UNNAMED,18550811,1200,  , HU,12.5N,83.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041855,UNNAMED,18550824,0,  , TS,12.0N,55.9W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051855,UNNAMED,18550915,0,  , HU,26.7N,89.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011856,UNNAMED,18560809,0,  , HU,25.0N,83.9W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021856,UNNAMED,18560813,0,  , HU,12.1N,56.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031856,UNNAMED,18560819,0,  , TS,32.5N,75.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041856,UNNAMED,18560821,1200,  , TS,23.0N,82.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,UNNAMED,18560825,0,  , HU,21.0N,69.8W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061856,UNNAMED,18560918,0,  , TS,32.0N,48.8W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011857,UNNAMED,18570630,0,  , TS,34.0N,74.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021857,UNNAMED,18570906,1800,  , TS,26.5N,73.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031857,UNNAMED,18570922,0,  , HU,32.5N,73.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041857,UNNAMED,18570924,0,  , TS,16.0N,54.7W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011858,UNNAMED,18580612,1200,  , HU,19.0N,85.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021858,UNNAMED,18580805,1200,  , HU,45.0N,40.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031858,UNNAMED,18580914,0,  , TS,25.2N,84.6W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041858,UNNAMED,18580917,0,  , HU,18.4N,41.4W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051858,UNNAMED,18580922,1200,  , TS,21.9N,74.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061858,UNNAMED,18581021,0,  , TS,21.5N,73.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011859,UNNAMED,18590701,1200,  , HU,21.5N,97.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021859,UNNAMED,18590817,0,  , HU,38.5N,67.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031859,UNNAMED,18590902,0,  , HU,17.3N,59.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041859,UNNAMED,18590912,600,  , HU,35.5N,57.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051859,UNNAMED,18590915,0,  , HU,28.0N,89.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061859,UNNAMED,18591002,0,  , HU,17.5N,75.4W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071859,UNNAMED,18591016,0,  , TS,25.1N,75.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,UNNAMED,18591024,0,  , TS,20.2N,93.3W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011860,UNNAMED,18600808,0,  , TS,27.9N,84.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021860,UNNAMED,18600824,0,  , TS,28.2N,77.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031860,UNNAMED,18600911,1200,  , HU,40.0N,50.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041860,UNNAMED,18600911,0,  , HU,25.1N,83.8W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051860,UNNAMED,18600918,0,  , TS,22.2N,66.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061860,UNNAMED,18600930,0,  , TS,22.4N,91.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071860,UNNAMED,18601020,0,  , HU,23.5N,70.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011861,UNNAMED,18610706,0,  , TS,15.1N,58.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021861,UNNAMED,18610813,1200,  , TS,20.5N,70.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031861,UNNAMED,18610825,0,  , HU,34.4N,62.0W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041861,UNNAMED,18610917,1200,  , HU,28.5N,50.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051861,UNNAMED,18610927,600,  , HU,28.5N,77.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061861,UNNAMED,18611006,0,  , TS,20.0N,46.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071861,UNNAMED,18611007,1200, L, TS,35.3N,75.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,18611101,600,  , TS,25.5N,82.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011862,UNNAMED,18620615,0,  , TS,32.0N,75.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021862,UNNAMED,18620818,0,  , HU,28.8N,71.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031862,UNNAMED,18620912,0,  , TS,22.2N,56.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041862,UNNAMED,18621006,0,  , TS,13.0N,61.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051862,UNNAMED,18621014,0,  , HU,33.0N,69.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061862,UNNAMED,18621122,0,  , TS,10.5N,79.5W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011863,UNNAMED,18630808,0,  , HU,37.7N,50.8W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021863,UNNAMED,18630818,0,  , HU,39.4N,58.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031863,UNNAMED,18630819,0,  , HU,26.5N,66.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041863,UNNAMED,18630827,0,  , HU,29.5N,75.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051863,UNNAMED,18630909,0,  , TS,18.5N,60.2W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061863,UNNAMED,18630916,0,  , TS,24.7N,79.9W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071863,UNNAMED,18630918,1200,  , TS,22.5N,96.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081863,UNNAMED,18630926,1200,  , TS,31.1N,70.1W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091863,UNNAMED,18630929,0,  , TS,28.5N,95.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011864,UNNAMED,18640716,0,  , HU,30.8N,76.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021864,UNNAMED,18640725,1200,  , TS,24.0N,89.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031864,UNNAMED,18640826,0,  , HU,14.8N,54.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041864,UNNAMED,18640905,0,  , TS,33.0N,72.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051864,UNNAMED,18641022,0,  , TS,28.5N,72.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011865,UNNAMED,18650530,0,  , TS,13.0N,80.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021865,UNNAMED,18650630,1200, L, TS,26.0N,97.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031865,UNNAMED,18650820,0,  , TS,30.3N,78.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041865,UNNAMED,18650906,0,  , HU,16.0N,55.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051865,UNNAMED,18650907,0, L, TS,29.7N,92.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061865,UNNAMED,18650928,1200,  , HU,25.5N,69.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,18651018,0,  , TS,9.5N,80.4W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011866,UNNAMED,18660711,1200,  , HU,28.0N,87.3W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021866,UNNAMED,18660813,0,  , HU,14.7N,62.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031866,UNNAMED,18660904,0,  , HU,33.0N,68.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041866,UNNAMED,18660918,1200,  , HU,15.0N,29.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051866,UNNAMED,18660922,0,  , HU,40.0N,62.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061866,UNNAMED,18660924,0,  , HU,13.2N,35.0W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071866,UNNAMED,18661029,600,  , TS,29.5N,75.8W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011867,UNNAMED,18670621,1200,  , TS,29.5N,80.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021867,UNNAMED,18670728,0,  , HU,18.5N,56.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031867,UNNAMED,18670802,1200,  , HU,14.0N,77.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041867,UNNAMED,18670831,0,  , HU,30.8N,71.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051867,UNNAMED,18670908,1200,  , TS,17.0N,58.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061867,UNNAMED,18670929,0,  , HU,30.1N,73.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,18671002,0,  , HU,23.5N,96.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081867,UNNAMED,18671009,1200,  , TS,17.5N,62.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091867,UNNAMED,18671027,0,  , TS,19.0N,50.5W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011868,UNNAMED,18680903,0,  , HU,27.4N,69.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021868,UNNAMED,18681001,0,  , TS,25.2N,94.6W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031868,UNNAMED,18681005,0,  , HU,17.0N,80.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041868,UNNAMED,18681015,0,  , HU,26.1N,73.3W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011869,UNNAMED,18690812,0,  , HU,40.5N,47.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021869,UNNAMED,18690816,0,  , HU,27.0N,91.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031869,UNNAMED,18690827,0,  , HU,32.7N,46.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041869,UNNAMED,18690901,0,  , TS,28.0N,73.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051869,UNNAMED,18690904,0,  , HU,26.2N,88.4W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061869,UNNAMED,18690907,0,  , HU,27.0N,74.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071869,UNNAMED,18690911,0,  , HU,11.2N,38.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081869,UNNAMED,18690914,1200,  , TS,16.0N,43.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091869,UNNAMED,18691001,1200,  , TS,17.0N,67.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101869,UNNAMED,18691004,0,  , HU,31.5N,75.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011870,UNNAMED,18700730,1800,  , HU,30.5N,88.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021870,UNNAMED,18700830,0,  , TS,21.7N,59.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031870,UNNAMED,18700901,0,  , TS,16.0N,27.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041870,UNNAMED,18700909,0,  , HU,24.2N,64.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051870,UNNAMED,18700917,0,  , HU,30.2N,68.1W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061870,UNNAMED,18701005,0,  , TS,17.5N,74.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071870,UNNAMED,18701007,1200,  , HU,12.0N,35.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081870,UNNAMED,18701010,0,  , HU,34.0N,50.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18701019,0,  , HU,19.5N,84.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101870,UNNAMED,18701023,1200,  , HU,21.0N,72.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111870,UNNAMED,18701030,0,  , TS,17.0N,85.5W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011871,UNNAMED,18710601,0,  , TS,24.1N,81.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021871,UNNAMED,18710608,0,  , TS,23.4N,90.4W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,18710814,0,  , HU,26.5N,72.4W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,18710817,0,  , TS,11.2N,30.7W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051871,UNNAMED,18710830,0,  , HU,26.7N,65.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,18710905,0,  , HU,26.0N,90.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,18710930,0,  , TS,21.1N,92.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081871,UNNAMED,18711010,0,  , HU,22.7N,58.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011872,UNNAMED,18720709,0,  , TS,23.5N,92.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021872,UNNAMED,18720820,0,  , TS,14.3N,29.7W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031872,UNNAMED,18720909,0,  , TS,12.5N,59.4W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041872,UNNAMED,18720930,0,  , TS,13.0N,31.7W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,18721022,0,  , TS,23.4N,89.3W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011873,UNNAMED,18730601,600,  , TS,24.2N,78.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021873,UNNAMED,18730813,0,  , TS,13.9N,25.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031873,UNNAMED,18730918,0,  , HU,22.7N,89.9W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,18730922,0,  , TS,22.2N,86.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051873,UNNAMED,18730926,0,  , TS,14.7N,62.3W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011874,UNNAMED,18740702,0,  , TS,25.8N,85.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021874,UNNAMED,18740803,0,  , TS,24.7N,53.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031874,UNNAMED,18740829,0,  , TS,13.6N,34.5W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041874,UNNAMED,18740902,0,  , TS,20.4N,94.6W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051874,UNNAMED,18740908,0,  , TS,25.8N,70.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,UNNAMED,18740925,0,  , TS,17.5N,86.4W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071874,UNNAMED,18741031,0,  , TS,13.5N,78.4W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011875,UNNAMED,18750816,0,  , HU,29.5N,74.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021875,UNNAMED,18750901,0,  , TS,10.5N,36.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031875,UNNAMED,18750908,0,  , HU,13.9N,55.3W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041875,UNNAMED,18750924,0,  , TS,23.4N,93.4W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051875,UNNAMED,18751007,0,  , HU,23.7N,68.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061875,UNNAMED,18751012,0,  , TS,27.3N,74.8W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011876,UNNAMED,18760909,0,  , HU,39.0N,60.8W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,UNNAMED,18760912,0,  , HU,17.7N,58.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031876,UNNAMED,18760916,0,  , TS,19.0N,57.8W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041876,UNNAMED,18760929,0,  , TS,14.1N,58.8W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051876,UNNAMED,18761012,0,  , TS,12.0N,79.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011877,UNNAMED,18770801,0,  , TS,23.1N,72.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021877,UNNAMED,18770914,0,  , TS,21.5N,92.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031877,UNNAMED,18770916,0,  , HU,25.5N,50.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041877,UNNAMED,18770921,0,  , TS,11.7N,55.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051877,UNNAMED,18770924,0,  , TS,21.2N,68.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061877,UNNAMED,18771013,0,  , TS,27.0N,48.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071877,UNNAMED,18771024,0,  , TS,24.5N,94.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081877,UNNAMED,18771128,0,  , TS,23.2N,76.5W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011878,UNNAMED,18780701,0,  , TS,25.4N,87.3W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021878,UNNAMED,18780808,0,  , TS,15.0N,60.5W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031878,UNNAMED,18780819,0,  , HU,35.5N,60.5W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041878,UNNAMED,18780825,0,  , TS,24.7N,77.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
